time[d]	beta1		beta2		beta3		beta4		beta5		beta6		ngt[s^-1]	fuel_temp_coeff[pcm/dK]	mod_temp_coeff[pcm/dK]
0.0	1.9864e-04	1.0571e-03	1.0492e-03	3.0035e-03	7.9447e-04	2.5780e-04	7.2320e-04	-6.1485		-2.1402
0.0208	2.2525e-04	1.1025e-03	1.0330e-03	3.0867e-03	8.7969e-04	2.8709e-04	7.1776e-04	-9.3576		-5.6396
0.0416	2.3438e-04	1.1268e-03	1.0893e-03	3.0537e-03	8.5111e-04	3.7625e-04	7.2046e-04	-7.5809		-5.6022
1.0	2.3735e-04	1.1161e-03	9.5861e-04	2.9820e-03	9.0884e-04	2.9536e-04	7.1829e-04	-7.6497		-3.9811
3.0	2.2035e-04	1.1667e-03	9.8081e-04	3.1486e-03	8.9807e-04	2.8322e-04	7.1741e-04	-7.6304		-2.7379
7.0	2.1581e-04	1.0364e-03	1.0150e-03	2.8640e-03	9.4839e-04	3.1900e-04	7.0679e-04	-7.4132		-4.3757
14.0	2.4301e-04	9.6981e-04	1.0040e-03	2.9994e-03	9.7540e-04	2.6423e-04	6.8736e-04	-7.6658		-2.9299
21.0	1.7602e-04	9.6971e-04	9.9562e-04	2.6941e-03	8.1063e-04	2.7392e-04	6.7237e-04	-8.4654		-2.6823
28.0	1.7911e-04	1.0890e-03	9.2651e-04	2.7926e-03	8.7760e-04	3.1988e-04	6.5879e-04	-7.4472		-4.9524
35.0	1.7070e-04	1.0533e-03	9.0974e-04	2.7877e-03	6.9413e-04	3.0975e-04	6.3965e-04	-6.9561		-1.5777
42.0	1.7364e-04	1.1340e-03	9.9263e-04	2.6601e-03	7.6718e-04	2.4918e-04	6.2928e-04	-7.9463		-3.2086
49.0	1.8447e-04	1.0717e-03	1.0267e-03	2.7052e-03	9.1652e-04	3.3152e-04	6.1746e-04	-7.3225		-1.6137
56.0	1.2721e-04	9.8264e-04	8.3504e-04	2.5755e-03	8.0320e-04	2.7331e-04	6.1046e-04	-6.1367		-1.4609
63.0	2.1431e-04	1.0327e-03	9.9142e-04	2.6300e-03	7.8879e-04	2.9570e-04	5.9501e-04	-6.0667		-2.297
70.0	1.5962e-04	9.5861e-04	8.8634e-04	2.5415e-03	7.6387e-04	2.4026e-04	5.8765e-04	-7.6936		0.2004
77.0	1.4582e-04	9.6810e-04	8.9741e-04	2.5882e-03	7.6143e-04	2.4301e-04	5.8058e-04	-7.6785		-1.8185
84.0	1.5287e-04	9.0129e-04	9.8992e-04	2.8095e-03	7.7531e-04	2.3311e-04	5.7118e-04	-7.0288		-2.3441
91.0	1.4691e-04	9.6940e-04	8.4507e-04	2.6483e-03	7.3329e-04	2.9445e-04	5.6696e-04	-6.8574		-2.0804
98.0	1.5828e-04	9.4873e-04	9.5389e-04	2.5238e-03	7.8574e-04	2.9519e-04	5.5825e-04	-5.8147		-1.5029
105.0	1.7629e-04	1.0369e-03	8.9182e-04	2.5114e-03	7.4315e-04	2.1718e-04	5.5601e-04	-7.5946		-1.5155
112.0	1.6023e-04	9.5105e-04	9.1269e-04	2.5581e-03	6.8484e-04	2.0116e-04	5.4604e-04	-7.6083		-2.8191
119.0	2.0772e-04	9.7466e-04	9.7996e-04	2.3551e-03	7.8696e-04	2.3245e-04	5.4057e-04	-5.871		-1.3528
126.0	1.5556e-04	8.6730e-04	7.7552e-04	2.4089e-03	6.8814e-04	2.3222e-04	5.3526e-04	-5.8154		-2.4664
133.0	1.6263e-04	7.9372e-04	8.8801e-04	2.3380e-03	7.0669e-04	2.2584e-04	5.2822e-04	-6.5807		-0.45092
140.0	1.6769e-04	1.0155e-03	8.1789e-04	2.4187e-03	6.7796e-04	2.2895e-04	5.2321e-04	-4.2158		-1.3979
147.0	1.8204e-04	8.9091e-04	8.0987e-04	2.4417e-03	7.1156e-04	1.9812e-04	5.1981e-04	-7.3993		-1.5486
154.0	1.4687e-04	9.3359e-04	8.7039e-04	2.3044e-03	8.0173e-04	2.4276e-04	5.1909e-04	-6.4872		0.12652
161.0	1.5469e-04	9.2481e-04	8.2814e-04	2.3761e-03	7.1197e-04	2.5559e-04	5.1119e-04	-7.4986		-2.6593
191.0	1.6327e-04	1.0036e-03	9.1253e-04	2.0589e-03	7.0597e-04	2.0352e-04	4.9615e-04	-6.2275		-3.1494
221.0	1.2122e-04	8.2644e-04	8.1665e-04	2.1735e-03	7.2670e-04	2.4695e-04	4.8299e-04	-6.2771		-2.6102
251.0	1.5075e-04	9.3898e-04	7.9903e-04	2.2522e-03	7.4335e-04	1.9302e-04	4.7435e-04	-6.6036		-2.0611
281.0	1.8944e-04	8.8585e-04	8.9282e-04	2.1782e-03	6.5383e-04	2.1700e-04	4.6728e-04	-6.4929		-1.8366
311.0	1.8599e-04	9.3690e-04	7.6946e-04	2.3058e-03	6.7986e-04	1.7017e-04	4.5059e-04	-6.2795		-2.8488
341.0	1.1982e-04	9.4804e-04	8.7817e-04	2.1046e-03	6.8539e-04	2.0870e-04	4.4525e-04	-6.0203		-1.6654
371.0	1.7354e-04	9.0248e-04	8.3448e-04	2.2533e-03	6.8780e-04	2.7400e-04	4.3999e-04	-7.0691		-1.1569
401.0	1.4239e-04	9.3465e-04	8.1975e-04	2.2164e-03	6.9766e-04	1.8631e-04	4.3524e-04	-7.3476		-2.1788
431.0	1.9392e-04	9.4841e-04	8.2036e-04	2.2286e-03	6.9301e-04	2.3388e-04	4.2697e-04	-7.2498		-1.2668
